epoch,train_loss,val_loss,train_acc,val_acc
1,1.786439087277367,1.0653077920277914,33.333333333333336,35.55555555555556
2,1.1497924906866892,1.0763999356163874,42.38095238095238,40.0
3,1.1218835194905599,1.0976158009635077,34.285714285714285,35.55555555555556
4,1.092668043999445,1.229891766442193,43.333333333333336,33.333333333333336
5,1.1353298777625673,1.1488539483812121,38.57142857142857,28.88888888888889
6,1.0878141448611305,1.1073166582319471,40.476190476190474,40.0
7,1.061424780459631,1.1017477009031507,42.38095238095238,33.333333333333336
8,1.0407603695279075,1.1423387792375352,44.285714285714285,33.333333333333336
9,1.043666484242394,1.1005797174241807,46.666666666666664,35.55555555555556
10,1.0443896645591373,1.1050496657689413,46.666666666666664,33.333333333333336
